,0
395,b'?assign@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEAAV12@PB_W@Z'
396,b'?before@type_info@@QBEHABV1@@Z'
397,b'?begin@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE?AV?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ'
398,b'?begin@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE?AV?$_String_iterator@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@XZ'
399,b'?c_str@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEPBDXZ'
400,b'?c_str@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEPB_WXZ'
401,b'?cast@QMetaObject@@QBEPAVQObject@@PAV2@@Z'
402,b'?ceil@Decimal@blink@@QBE?AV12@XZ'
403,b'?cerr@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A'
404,b'?changeGuard@QMetaObject@@SAXPAPAVQObject@@PAV2@@Z'
405,b'?childEvent@QObject@@MAEXPAVQChildEvent@@@Z'
406,b'?clear@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z'
407,b'?clear@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXXZ'
408,b'?close@?$basic_ifstream@DU?$char_traits@D@std@@@std@@QAEXXZ'
409,b'?colorTable@QImage@@QBE?AV?$QVector@I@@XZ'
410,b'?compareTo@Decimal@blink@@ABE?AV12@ABV12@@Z'
411,b'?compress@LZ4@Compression@mozilla@@SAIPBDIPAD@Z'
412,b'?compressLimitedOutput@LZ4@Compression@mozilla@@SAIPBDIPADI@Z'
413,b'?connectNotify@QObject@@MAEXABVQMetaMethod@@@Z'
414,b'?connectNotify@QObject@@MAEXPBD@Z'
415,b'?constData@QByteArray@@QBEPBDXZ'
416,b'?constScanLine@QImage@@QBEPBEH@Z'
417,b'?copy@QImage@@QBE?AV1@ABVQRect@@@Z'
418,b'?cout@std@@3V?$basic_ostream@DU?$char_traits@D@std@@@1@A'
419,b'?create@QTextCodecPlugin@@EAEPAVQTextCodec@@ABVQString@@@Z'
420,b'?currentImageNumber@QImageIOHandler@@UBEHXZ'
421,b'?currentImageRect@QImageIOHandler@@UBE?AVQRect@@XZ'
422,b'?customEvent@QObject@@MAEXPAVQEvent@@@Z'
423,b'?data@QBuffer@@QBEABVQByteArray@@XZ'
424,b'?deallocate@QArrayData@@SAXPAU1@II@Z'
425,b'?decompress@LZ4@Compression@mozilla@@SA_NPBDIPADIPAI@Z'
426,b'?decompress@LZ4@Compression@mozilla@@SA_NPBDPADI@Z'
427,b'?detach@QByteArray@@QAEXXZ'
428,b'?detach@QListData@@QAEPAUData@1@H@Z'
429,b'?detach_grow@QListData@@QAEPAUData@1@PAHH@Z'
430,b'?device@QImageIOHandler@@QBEPAVQIODevice@@XZ'
431,b'?disconnectNotify@QObject@@MAEXABVQMetaMethod@@@Z'
432,b'?disconnectNotify@QObject@@MAEXPBD@Z'
433,b'?dispose@QListData@@SAXPAUData@1@@Z'
434,b'?dotsPerMeterX@QImage@@QBEHXZ'
435,b'?dotsPerMeterY@QImage@@QBEHXZ'
436,b'?dynamicMetaObject@QObjectData@@QBEPAUQMetaObject@@XZ'
437,b'?empty@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE_NXZ'
438,b'?end@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE?AV?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ'
439,b'?end@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAE?AV?$_String_iterator@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@XZ'
440,b'?endl@std@@YAAAV?$basic_ostream@DU?$char_traits@D@std@@@1@AAV21@@Z'
441,b'?eof@?$char_traits@D@std@@SAHXZ'
442,b'?eof@ios_base@std@@QBE_NXZ'
443,b'?eq_int_type@?$char_traits@D@std@@SA_NABH0@Z'
444,b'?erase@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@II@Z'
445,b'?erase@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV12@II@Z'
446,b'?event@QObject@@UAE_NPAVQEvent@@@Z'
447,b'?eventFilter@QObject@@UAE_NPAV1@PAVQEvent@@@Z'
448,b'?fill@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDXZ'
449,b'?find@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIDI@Z'
450,b'?find@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDI@Z'
451,b'?find@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDII@Z'
452,b'?find@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEIABV12@I@Z'
453,b'?find@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEIPB_WI@Z'
454,b'?find_first_not_of@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDI@Z'
455,b'?find_first_of@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIDI@Z'
456,b'?find_first_of@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDII@Z'
457,b'?find_last_not_of@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDI@Z'
458,b'?finish@SHA1Sum@mozilla@@QAEXAAY0BE@E@Z'
459,b'?flags@ios_base@std@@QBEHXZ'
460,b'?floor@Decimal@blink@@QBE?AV12@XZ'
461,b'?flush@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@XZ'
462,b'?format@QImage@@QBE?AW4Format@1@XZ'
463,b'?freeData@QMapDataBase@@SAXPAU1@@Z'
464,b'?freeTree@QMapDataBase@@QAEXPAUQMapNodeBase@@H@Z'
465,b'?fromDouble@Decimal@blink@@SA?AV12@N@Z'
466,b'?fromLatin1@QString@@SA?AV1@PBDH@Z'
467,b'?fromString@Decimal@blink@@SA?AV12@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z'
468,b'?gChaosFeatures@detail@mozilla@@3W4ChaosFeature@2@A'
469,b'?gChaosModeCounter@detail@mozilla@@3V?$Atomic@I$01X@2@A'
470,b'?gTwoCharEscapes@detail@mozilla@@3QBDB'
471,b'?get@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEHXZ'
472,b'?getAndRef@ExternalRefCountData@QtSharedPointer@@SAPAU12@PBVQObject@@@Z'
473,b'?good@ios_base@std@@QBE_NXZ'
474,b'?height@QImage@@QBEHXZ'
475,b'?id@?$collate@_W@std@@2V0locale@2@A'
476,b'?id@?$ctype@D@std@@2V0locale@2@A'
477,b'?id@?$ctype@_W@std@@2V0locale@2@A'
478,b'?imageCount@QImageIOHandler@@UBEHXZ'
479,b'?imbue@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAEXABVlocale@2@@Z'
480,b'?indexOf@QString@@QBEHVQChar@@HW4CaseSensitivity@Qt@@@Z'
481,b'?indexOf@QString@@QBEHVQLatin1String@@HW4CaseSensitivity@Qt@@@Z'
482,b'?infinity@Decimal@blink@@SA?AV12@W4Sign@12@@Z'
483,b'?is@?$ctype@D@std@@QBE_NFD@Z'
484,b'?isNull@QImage@@QBE_NXZ'
485,b'?isOpen@QIODevice@@QBE_NXZ'
486,b'?isReadable@QIODevice@@QBE_NXZ'
487,b'?isWritable@QIODevice@@QBE_NXZ'
488,b'?jumpToImage@QImageIOHandler@@UAE_NH@Z'
489,b'?jumpToNextImage@QImageIOHandler@@UAE_NXZ'
490,b'?kBase10MaximalLength@DoubleToStringConverter@double_conversion@@2HB'
491,b'?keys@QTextCodecPlugin@@EBE?AVQStringList@@XZ'
492,b'?left@QString@@QBE?AV1@H@Z'
493,b'?length@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ'
494,b'?length@?$char_traits@D@std@@SAIPBD@Z'
495,b'?loopCount@QImageIOHandler@@UBEHXZ'
496,b'?max_size@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ'
497,b'?metaObject@QTextCodecPlugin@@UBEPBUQMetaObject@@XZ'
498,b'?mid@QString@@QBE?AV1@HH@Z'
499,b'?name@type_info@@QBEPBDPAU__type_info_node@@@Z'
500,b'?nan@Decimal@blink@@SA?AV12@XZ'
501,b'?nextImageDelay@QImageIOHandler@@UBEHXZ'
502,b'?nextNode@QMapNodeBase@@QBEPBU1@XZ'
503,b'?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB'
504,b'?npos@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@2IB'
505,b'?npos@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@2IB'
506,b'?peek@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEHXZ'
507,b'?peek@QIODevice@@QAE_JPAD_J@Z'
508,b'?push_back@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXD@Z'
509,b'?put@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@D@Z'
510,b'?qDetectCpuFeatures@@YAXXZ'
511,b'?qFree@@YAXPAX@Z'
512,b'?qstrcmp@@YAHABVQByteArray@@PBD@Z'
513,b'?qt_cpu_features@@3PAV?$QBasicAtomicInteger@I@@A'
514,b'?qt_metacall@QImageIOPlugin@@UAEHW4Call@QMetaObject@@HPAPAX@Z'
515,b'?qt_metacall@QTextCodecPlugin@@UAEHW4Call@QMetaObject@@HPAPAX@Z'
516,b'?qt_metacast@QImageIOPlugin@@UAEPAXPBD@Z'
517,b'?qt_metacast@QTextCodecPlugin@@UAEPAXPBD@Z'
518,b'?raw_name@type_info@@QBEPBDXZ'
519,b'?rdbuf@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_streambuf@DU?$char_traits@D@std@@@2@XZ'
520,b'?read@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV12@PADH@Z'
521,b'?read@QIODevice@@QAE_JPAD_J@Z'
522,b'?readRawData@QDataStream@@QAEHPADH@Z'
523,b'?remainder@Decimal@blink@@QBE?AV12@ABV12@@Z'
524,b'?removeGuard@QMetaObject@@SAXPAPAVQObject@@@Z'
525,b'?replace@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@IIABV12@@Z'
526,b'?replace@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEAAV12@IIPB_W@Z'
527,b'?reserve@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXI@Z'
528,b'?reserve@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEXI@Z'
529,b'?resize@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXI@Z'
530,b'?resize@QByteArray@@QAEXH@Z'
531,b'?resize@QString@@QAEXH@Z'
532,b'?rfind@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEI_WI@Z'
533,b'?round@Decimal@blink@@QBE?AV12@XZ'
534,b'?sbumpc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHXZ'
535,b'?scaled@QImage@@QBE?AV1@ABVQSize@@W4AspectRatioMode@Qt@@W4TransformationMode@4@@Z'
536,b'?scanLine@QImage@@QAEPAEH@Z'
537,b'?seekg@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV12@V?$fpos@H@2@@Z'
538,b'?setByteOrder@QDataStream@@QAEXW4ByteOrder@1@@Z'
539,b'?setDevice@QImageIOHandler@@QAEXPAVQIODevice@@@Z'
540,b'?setDotsPerMeterX@QImage@@QAEXH@Z'
541,b'?setDotsPerMeterY@QImage@@QAEXH@Z'
542,b'?setFormat@QImageIOHandler@@QAEXABVQByteArray@@@Z'
543,b'?setFormat@QImageIOHandler@@QBEXABVQByteArray@@@Z'
544,b'?set_new_handler@@YAP6AXXZP6AXXZ@Z'
545,b'?set_terminate@@YAP6AXXZH@Z'
546,b'?set_terminate@@YAP6AXXZP6AXXZ@Z'
547,b'?set_unexpected@@YAP6AXXZH@Z'
548,b'?set_unexpected@@YAP6AXXZP6AXXZ@Z'
549,b'?setbuf@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAEPAV12@PAD_J@Z'
550,b'?setprecision@std@@YA?AU?$_Smanip@_J@1@_J@Z'
551,b'?setstate@?$basic_ios@DU?$char_traits@D@std@@@std@@QAEXH_N@Z'
552,b'?setw@std@@YA?AU?$_Smanip@H@1@H@Z'
553,b'?sgetc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHXZ'
554,b'?shared_null@QByteArray@@0UData@1@A'
555,b'?shared_null@QListData@@2UData@1@A'
556,b'?shared_null@QListData@@2UData@1@B'
557,b'?shared_null@QString@@0UData@1@A'
558,b'?showmanyc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAE_JXZ'
559,b'?simplified_helper@QString@@CA?AV1@ABV1@@Z'
560,b'?size@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ'
561,b'?size@QImage@@QBE?AVQSize@@XZ'
562,b'?size@QRect@@QBE?AVQSize@@XZ'
563,b'?snextc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHXZ'
564,b'?sputc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHD@Z'
565,b'?sputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@QAEHPBDH@Z'
566,b'?staticMetaObject@QBuffer@@2UQMetaObject@@B'
567,b'?staticMetaObject@QImageIOPlugin@@2UQMetaObject@@B'
568,b'?status@QDataStream@@QBE?AW4Status@1@XZ'
569,b'?str@?$basic_ostringstream@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ'
570,b'?str@?$basic_stringstream@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ'
571,b'?substr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV12@II@Z'
572,b'?substr@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBE?AV12@II@Z'
573,b'?substr@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBE?AV12@II@Z'
574,b'?swap@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXAAV12@@Z'
575,b'?swap@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEXAAV12@@Z'
576,b'?swprintf@@YAHPAGIPBGZZ'
577,b'?swprintf@@YAHPA_WIPB_WZZ'
578,b'?sync@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAEHXZ'
579,b'?tellg@?$basic_istream@DU?$char_traits@D@std@@@std@@QAE?AV?$fpos@H@2@XZ'
580,b'?tellp@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAE?AV?$fpos@H@2@XZ'
581,b'?terminate@@YAXXZ'
582,b'?tie@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_ostream@DU?$char_traits@D@std@@@2@XZ'
583,b'?timerEvent@QObject@@MAEXPAVQTimerEvent@@@Z'
584,b'?toBool@QVariant@@QBE_NXZ'
585,b'?toDouble@Decimal@blink@@QBENXZ'
586,b'?toInt@QVariant@@QBEHPA_N@Z'
587,b'?toLatin1@QString@@QGBE?AVQByteArray@@XZ'
588,b'?toRect@QVariant@@QBE?AVQRect@@XZ'
589,b'?toSize@QVariant@@QBE?AVQSize@@XZ'
590,b'?toString@Decimal@blink@@QBE?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@XZ'
591,b'?toString@Decimal@blink@@QBE_NPADI@Z'
592,b'?toString@QVariant@@QBE?AVQString@@XZ'
593,b'?to_char_type@?$char_traits@D@std@@SADABH@Z'
594,b'?to_int_type@?$char_traits@D@std@@SAHABD@Z'
595,b'?tolower@?$ctype@D@std@@QBEDD@Z'
596,b'?tolower@?$ctype@_W@std@@QBE_W_W@Z'
597,b'?toupper@?$ctype@D@std@@QBEDD@Z'
598,b'?toupper@?$ctype@_W@std@@QBE_W_W@Z'
599,b'?translate@QRect@@QAEXABVQPoint@@@Z'
600,b'?truncate@QByteArray@@QAEXH@Z'
601,b'?uflow@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAEHXZ'
602,b'?uncaught_exception@std@@YA_NXZ'
603,b'?unexpected@@YAXXZ'
604,b'?update@SHA1Sum@mozilla@@QAEXPBXI@Z'
605,b'?vswprintf@@YAHPA_WIPB_WPAD@Z'
606,b'?warning@QMessageLogger@@QBAXPBDZZ'
607,b'?what@exception@std@@UBEPBDXZ'
608,b'?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z'
609,b'?width@QImage@@QBEHXZ'
610,b'?width@ios_base@std@@QAEHH@Z'
611,b'?width@ios_base@std@@QBEHXZ'
612,b'?write@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@PBDH@Z'
613,b'?write@QIODevice@@QAE_JPBD_J@Z'
614,b'?xsgetn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAE_JPAD_J@Z'
615,b'?xsputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAE_JPBD_J@Z'
616,b'?zero@Decimal@blink@@SA?AV12@W4Sign@12@@Z'
617,b'@_calloc_crt@8'
618,b'@_malloc_crt@4'
619,b'@_realloc_crt@8'
620,b'AVISaveOptions'
621,b'AbortDoc'
622,b'AbortPath'
623,b'AbortPrinter'
624,b'AcceptEx'
625,b'AcceptSecurityContext'
626,b'AccessCheck'
627,b'AccessCheckAndAuditAlarmW'
628,b'AccessibleObjectFromWindow'
629,b'AcquireCredentialsHandleW'
630,b'ActivateActCtx'
631,b'ActivateKeyboardLayout'
632,b'AddAccessAllowedAce'
633,b'AddAccessAllowedAceEx'
634,b'AddAccessDeniedAceEx'
635,b'AddAce'
636,b'AddAtomA'
637,b'AddAtomW'
638,b'AddConsoleAliasW'
639,b'AddFontMemResourceEx'
640,b'AddFontResourceA'
641,b'AddFontResourceExA'
642,b'AddFontResourceExW'
643,b'AddFontResourceW'
644,b'AddFormA'
645,b'AddMonitorA'
646,b'AddMonitorW'
647,b'AddPrinterA'
648,b'AddPrinterConnectionA'
649,b'AddPrinterConnectionW'
650,b'AddPrinterW'
651,b'AddSecureMemoryCacheCallback'
652,b'AddVectoredExceptionHandler'
653,b'AdjustTokenPrivileges'
654,b'AdjustWindowRect'
655,b'AdjustWindowRectEx'
656,b'AllocConsole'
657,b'AllocateAndInitializeSid'
658,b'AllocateLocallyUniqueId'
659,b'AllocateUserPhysicalPagesNuma'
660,b'AllowSetForegroundWindow'
661,b'AlphaBlend'
662,b'AngleArc'
663,b'AnimatePalette'
664,b'AnimateWindow'
665,b'AnyPopup'
666,b'AppendMenuA'
667,b'AppendMenuW'
668,b'ApplyControlToken'
669,b'Arc'
670,b'ArcTo'
671,b'AreFileApisANSI'
672,b'ArrangeIconicWindows'
673,b'AssignProcessToJobObject'
674,b'AssocCreate'
675,b'AssocQueryStringW'
676,b'AttachConsole'
677,b'AttachThreadInput'
678,b'AuthzAccessCheck'
679,b'AuthzFreeAuditEvent'
680,b'AuthzFreeContext'
681,b'AuthzFreeResourceManager'
682,b'AuthzGetInformationFromContext'
683,b'AuthzInitializeContextFromSid'
684,b'AuthzInitializeResourceManager'
685,b'AuthziLogAuditEvent'
686,b'BSTR_UserSize'
687,b'BackupEventLogA'
688,b'BackupEventLogW'
689,b'BackupRead'
690,b'BackupSeek'
691,b'BackupWrite'
692,b'Beep'
693,b'BeginDeferWindowPos'
694,b'BeginPaint'
695,b'BeginPath'
696,b'BeginUpdateResourceA'
697,b'BeginUpdateResourceW'
698,b'BindIoCompletionCallback'
699,b'BitBlt'
700,b'BlockInput'
701,b'BringWindowToTop'
702,b'BroadcastSystemMessageA'
703,b'BroadcastSystemMessageExA'
704,b'BroadcastSystemMessageW'
705,b'BuildCommDCBAndTimeoutsW'
706,b'BuildExplicitAccessWithNameW'
707,b'CLIPOBJ_ppoGetPath'
708,b'CLSIDFromProgID'
709,b'CLSIDFromString'
710,b'CM_Get_Child'
711,b'CM_Get_DevNode_Registry_PropertyW'
712,b'CM_Get_DevNode_Registry_Property_ExW'
713,b'CM_Get_DevNode_Status'
714,b'CM_Get_DevNode_Status_Ex'
715,b'CM_Get_Device_IDW'
716,b'CM_Get_Device_ID_ExW'
717,b'CM_Get_Parent'
718,b'CM_Get_Parent_Ex'
719,b'CM_Get_Sibling'
720,b'CM_Locate_DevNodeW'
721,b'CM_Open_DevNode_Key'
722,b'CStdStubBuffer_AddRef'
723,b'CStdStubBuffer_Connect'
724,b'CStdStubBuffer_CountRefs'
725,b'CStdStubBuffer_DebugServerQueryInterface'
726,b'CStdStubBuffer_DebugServerRelease'
727,b'CStdStubBuffer_Disconnect'
728,b'CStdStubBuffer_Invoke'
729,b'CStdStubBuffer_IsIIDSupported'
730,b'CStdStubBuffer_QueryInterface'
731,b'CalculatePopupWindowPosition'
732,b'CallMsgFilterA'
733,b'CallMsgFilterW'
734,b'CallNamedPipeA'
735,b'CallNextHookEx'
736,b'CallNtPowerInformation'
737,b'CallWindowProcA'
738,b'CallWindowProcW'
739,b'CancelDC'
740,b'CancelDeviceWakeupRequest'
741,b'CancelIo'
742,b'CancelWaitableTimer'
743,b'CascadeWindows'
744,b'CertAddCertificateContextToStore'
745,b'CertAddEncodedCertificateToStore'
746,b'CertCloseStore'
747,b'CertCompareCertificateName'
748,b'CertCreateCertificateChainEngine'
749,b'CertCreateCertificateContext'
750,b'CertDeleteCRLFromStore'
751,b'CertDeleteCertificateFromStore'
752,b'CertDuplicateCertificateContext'
753,b'CertEnumCertificatesInStore'
754,b'CertFindCertificateInStore'
755,b'CertFindExtension'
756,b'CertFreeCRLContext'
757,b'CertFreeCTLContext'
758,b'CertFreeCertificateChain'
759,b'CertFreeCertificateContext'
760,b'CertGetCertificateChain'
761,b'CertGetCertificateContextProperty'
762,b'CertGetNameStringA'
763,b'CertGetNameStringW'
764,b'CertNameToStrA'
765,b'CertNameToStrW'
766,b'CertOpenStore'
767,b'CertOpenSystemStoreW'
768,b'CertSaveStore'
769,b'CertSetCertificateContextProperty'
770,b'CertStrToNameW'
771,b'CertVerifyCertificateChainPolicy'
772,b'CertVerifySubjectCertificateContext'
773,b'CertVerifyTimeValidity'
774,b'ChangeClipboardChain'
775,b'ChangeDisplaySettingsA'
776,b'ChangeDisplaySettingsExA'
777,b'ChangeDisplaySettingsW'
778,b'ChangeMenuA'
779,b'ChangeMenuW'
780,b'ChangeServiceConfig2A'
781,b'ChangeServiceConfig2W'
782,b'ChangeServiceConfigA'
783,b'ChangeServiceConfigW'
784,b'ChangeTimerQueueTimer'
785,b'ChangeWindowMessageFilterEx'
786,b'CharLowerA'
787,b'CharLowerBuffA'
788,b'CharLowerBuffW'
789,b'CharLowerW'
790,b'CharNextA'
791,b'CharNextExA'
792,b'CharNextW'
793,b'CharPrevA'
794,b'CharPrevW'
795,b'CharToOemA'
796,b'CharToOemBuffA'
797,b'CharToOemBuffW'
798,b'CharToOemW'
799,b'CharUpperA'
800,b'CharUpperBuffA'
801,b'CharUpperBuffW'
802,b'CharUpperW'
803,b'CheckColorsInGamut'
804,b'CheckDlgButton'
805,b'CheckMenuItem'
806,b'CheckMenuRadioItem'
807,b'CheckRadioButton'
808,b'CheckSumMappedFile'
809,b'CheckTokenMembership'
810,b'ChildWindowFromPoint'
811,b'ChildWindowFromPointEx'
812,b'ChooseColorA'
813,b'ChooseColorW'
814,b'ChooseFontA'
815,b'ChooseFontW'
816,b'ChoosePixelFormat'
817,b'Chord'
818,b'ChrCmpIW'
819,b'ClearCommError'
820,b'ClearEventLogW'
821,b'ClientToScreen'
822,b'ClipCursor'
823,b'CloseClipboard'
824,b'CloseDesktop'
825,b'CloseEncryptedFileRaw'
826,b'CloseEnhMetaFile'
827,b'CloseEventLog'
828,b'CloseFigure'
829,b'CloseHandle'
830,b'CloseMetaFile'
831,b'ClosePrinter'
832,b'CloseServiceHandle'
833,b'CloseThemeData'
834,b'CloseThreadpoolCleanupGroupMembers'
835,b'CloseWindow'
836,b'CloseWindowStation'
837,b'ClusterGroupControl'
838,b'ClusterNodeControl'
839,b'ClusterRegSetValue'
840,b'CmRegisterCallback'
841,b'CmUnRegisterCallback'
842,b'CoAddRefServerProcess'
843,b'CoCreateFreeThreadedMarshaler'
844,b'CoCreateGuid'
845,b'CoCreateInstance'
846,b'CoCreateInstanceEx'
847,b'CoDisconnectObject'
848,b'CoFreeAllLibraries'
849,b'CoFreeLibrary'
850,b'CoFreeUnusedLibraries'
851,b'CoFreeUnusedLibrariesEx'
852,b'CoGetCallerTID'
853,b'CoGetClassObject'
854,b'CoGetContextToken'
855,b'CoGetCurrentProcess'
856,b'CoGetInstanceFromFile'
857,b'CoGetInterfaceAndReleaseStream'
858,b'CoGetMalloc'
859,b'CoGetObject'
860,b'CoInitialize'
861,b'CoInitializeEx'
862,b'CoInitializeSecurity'
863,b'CoInternetCreateSecurityManager'
864,b'CoInternetCreateZoneManager'
865,b'CoInternetGetSession'
866,b'CoInternetIsFeatureEnabled'
867,b'CoInternetSetFeatureEnabled'
868,b'CoInvalidateRemoteMachineBindings'
869,b'CoLockObjectExternal'
870,b'CoMarshalHresult'
871,b'CoMarshalInterThreadInterfaceInStream'
872,b'CoMarshalInterface'
873,b'CoRegisterClassObject'
874,b'CoRegisterMallocSpy'
875,b'CoRegisterMessageFilter'
876,b'CoRegisterSurrogate'
877,b'CoReleaseServerProcess'
878,b'CoRevokeClassObject'
879,b'CoRevokeMallocSpy'
880,b'CoSetProxyBlanket'
881,b'CoSuspendClassObjects'
882,b'CoTaskMemAlloc'
883,b'CoTaskMemFree'
884,b'CoTaskMemRealloc'
885,b'CoTreatAsClass'
886,b'CoUninitialize'
887,b'CoUnmarshalInterface'
888,b'ColorCorrectPalette'
889,b'CombineRgn'
890,b'CombineTransform'
891,b'CommDlgExtendedError'
892,b'CommandLineToArgvW'
893,b'CompareFileTime'
894,b'CompareStringA'
895,b'CompareStringEx'
896,b'CompareStringW'
897,b'ConnectNamedPipe'
898,b'ControlService'
899,b'ControlTraceW'
900,b'ConvertDefaultLocale'
901,b'ConvertInterfaceIndexToLuid'
902,b'ConvertSidToStringSidA'
903,b'ConvertSidToStringSidW'
904,b'ConvertStringSecurityDescriptorToSecurityDescriptorA'
905,b'ConvertStringSecurityDescriptorToSecurityDescriptorW'
906,b'ConvertStringSidToSidW'
907,b'CopyAcceleratorTableA'
908,b'CopyAcceleratorTableW'
909,b'CopyEnhMetaFileA'
910,b'CopyEnhMetaFileW'
911,b'CopyFileA'
912,b'CopyFileExA'
913,b'CopyFileExW'
914,b'CopyFileW'
915,b'CopyIcon'
916,b'CopyImage'
917,b'CopyMetaFileA'
918,b'CopyMetaFileW'
919,b'CopyRect'
920,b'CopySid'
921,b'CountClipboardFormats'
922,b'CreateAcceleratorTableA'
923,b'CreateAcceleratorTableW'
924,b'CreateAntiMoniker'
925,b'CreateBindCtx'
926,b'CreateBitmap'
927,b'CreateBitmapIndirect'
928,b'CreateBrushIndirect'
929,b'CreateCaret'
930,b'CreateColorSpaceA'
